"forecast_date","location","target","target_end_date","type","quantile","value"
"2021-08-02","GM","1 wk ahead inc death","2021-08-07","point",NA,257
"2021-08-02","GM","2 wk ahead inc death","2021-08-14","point",NA,292
"2021-08-02","GM","3 wk ahead inc death","2021-08-21","point",NA,295
"2021-08-02","GM","4 wk ahead inc death","2021-08-28","point",NA,286
