"forecast_date","location","target","target_end_date","type","quantile","value"
"2021-08-30","GM","1 wk ahead inc death","2021-09-04","point",NA,164
"2021-08-30","GM","2 wk ahead inc death","2021-09-11","point",NA,358
"2021-08-30","GM","3 wk ahead inc death","2021-09-18","point",NA,399
"2021-08-30","GM","4 wk ahead inc death","2021-09-25","point",NA,486
