"forecast_date","location","target","target_end_date","type","quantile","value"
"2021-06-21","PL","1 wk ahead inc death","2021-06-26","point",NA,189
"2021-06-21","PL","2 wk ahead inc death","2021-07-03","point",NA,127
"2021-06-21","PL","3 wk ahead inc death","2021-07-10","point",NA,94
"2021-06-21","PL","4 wk ahead inc death","2021-07-17","point",NA,73
