"forecast_date","location","target","target_end_date","type","quantile","value"
"2021-07-05","PL","1 wk ahead inc death","2021-07-10","point",NA,72
"2021-07-05","PL","2 wk ahead inc death","2021-07-17","point",NA,54
"2021-07-05","PL","3 wk ahead inc death","2021-07-24","point",NA,41
"2021-07-05","PL","4 wk ahead inc death","2021-07-31","point",NA,33
