"forecast_date","location","target","target_end_date","type","quantile","value"
"2021-11-08","PL","1 wk ahead inc death","2021-11-13","point",NA,1126
"2021-11-08","PL","2 wk ahead inc death","2021-11-20","point",NA,1470
"2021-11-08","PL","3 wk ahead inc death","2021-11-27","point",NA,1720
"2021-11-08","PL","4 wk ahead inc death","2021-12-04","point",NA,1867
