"forecast_date","location","target","target_end_date","type","quantile","value"
"2021-11-01","PL","1 wk ahead inc death","2021-11-06","point",NA,778
"2021-11-01","PL","2 wk ahead inc death","2021-11-13","point",NA,984
"2021-11-01","PL","3 wk ahead inc death","2021-11-20","point",NA,1111
"2021-11-01","PL","4 wk ahead inc death","2021-11-27","point",NA,1175
