"forecast_date","location","target_end_date","value","target","type","quantile"
"2021-04-26","GM","2021-05-01",1916.11508839928,"1 wk ahead inc death","point",NA
"2021-04-26","GM","2021-05-08",2278.8233912349,"2 wk ahead inc death","point",NA
"2021-04-26","GM","2021-05-15",2470.51501437184,"3 wk ahead inc death","point",NA
"2021-04-26","GM","2021-05-22",2580.93565089197,"4 wk ahead inc death","point",NA
