"forecast_date","location","target_end_date","value","target","type","quantile"
"2021-04-19","GM","2021-04-24",2143.32034108885,"1 wk ahead inc death","point",NA
"2021-04-19","GM","2021-05-01",2744.5086259195,"2 wk ahead inc death","point",NA
"2021-04-19","GM","2021-05-08",3342.18343517834,"3 wk ahead inc death","point",NA
"2021-04-19","GM","2021-05-15",3838.48621389816,"4 wk ahead inc death","point",NA
